calories,protein,fat,sodium,cakeweek,wasteless,rating
426.0,30.0,7.0,559.0,0.0,0.0,2.5
403.0,18.0,23.0,1439.0,0.0,0.0,4.375
165.0,6.0,7.0,165.0,0.0,0.0,3.75
547.0,20.0,32.0,452.0,0.0,0.0,3.125
948.0,19.0,79.0,1042.0,0.0,0.0,4.375
170.0,7.0,10.0,1272.0,0.0,0.0,4.375
602.0,23.0,41.0,1696.0,0.0,0.0,3.75
256.0,4.0,5.0,30.0,0.0,0.0,3.75
766.0,12.0,48.0,439.0,0.0,0.0,4.375
174.0,11.0,12.0,176.0,0.0,0.0,4.375
134.0,4.0,3.0,1394.0,0.0,0.0,3.125
382.0,5.0,31.0,977.0,0.0,0.0,4.375
146.0,4.0,5.0,160.0,0.0,0.0,1.875
890.0,59.0,68.0,1027.0,0.0,0.0,4.375
107.0,5.0,7.0,344.0,0.0,0.0,5.0
421.0,10.0,33.0,383.0,0.0,0.0,5.0
345.0,11.0,19.0,423.0,0.0,0.0,4.375
279.0,3.0,30.0,206.0,0.0,0.0,3.75
95.0,1.0,7.0,103.0,0.0,0.0,0.0
215.0,6.0,20.0,250.0,0.0,0.0,3.75
14.0,0.0,0.0,0.0,0.0,0.0,2.5
351.0,6.0,19.0,79.0,0.0,0.0,4.375
311.0,5.0,5.0,226.0,0.0,0.0,4.375
376.0,7.0,18.0,604.0,0.0,0.0,4.375
185.0,10.0,13.0,765.0,0.0,0.0,3.125
625.0,39.0,44.0,1248.0,0.0,0.0,3.75
107.0,4.0,10.0,329.0,0.0,0.0,4.375
336.0,44.0,16.0,413.0,0.0,0.0,4.375
145.0,3.0,6.0,208.0,0.0,0.0,2.5
483.0,5.0,35.0,100.0,0.0,0.0,4.375
634.0,44.0,31.0,181.0,0.0,0.0,4.375
90.0,2.0,0.0,881.0,0.0,0.0,4.375
202.0,19.0,8.0,815.0,0.0,0.0,3.75
338.0,14.0,21.0,174.0,0.0,0.0,4.375
191.0,3.0,1.0,4.0,0.0,0.0,4.375
166.0,8.0,12.0,508.0,0.0,0.0,3.125
275.0,6.0,13.0,242.0,0.0,0.0,3.75
1203.0,89.0,87.0,583.0,0.0,0.0,5.0
266.0,4.0,7.0,148.0,0.0,0.0,3.75
904.0,38.0,70.0,1413.0,0.0,0.0,4.375
223.0,4.0,10.0,211.0,0.0,0.0,4.375
194.0,2.0,3.0,697.0,0.0,0.0,3.75
177.0,5.0,7.0,116.0,0.0,0.0,3.75
70.0,2.0,6.0,60.0,0.0,0.0,3.75
368.0,6.0,32.0,112.0,0.0,0.0,4.375
293.0,7.0,15.0,565.0,0.0,0.0,5.0
523.0,8.0,19.0,694.0,0.0,0.0,0.0
252.0,4.0,7.0,89.0,0.0,0.0,3.75
224.0,21.0,12.0,340.0,0.0,0.0,3.125
185.0,0.0,20.0,155.0,0.0,0.0,3.75
830.0,9.0,59.0,148.0,0.0,0.0,4.375
195.0,7.0,5.0,469.0,0.0,0.0,0.0
684.0,21.0,42.0,637.0,0.0,0.0,4.375
641.0,39.0,37.0,907.0,0.0,0.0,4.375
538.0,8.0,36.0,231.0,0.0,0.0,3.75
264.0,7.0,24.0,84.0,0.0,0.0,3.75
365.0,19.0,14.0,599.0,0.0,0.0,3.75
926.0,9.0,56.0,569.0,0.0,0.0,4.375
26.0,1.0,0.0,364.0,0.0,0.0,3.125
230.0,2.0,7.0,9.0,0.0,0.0,3.75
157.0,3.0,8.0,51.0,0.0,0.0,4.375
1172.0,54.0,73.0,220.0,0.0,0.0,4.375
298.0,6.0,12.0,199.0,0.0,0.0,4.375
682.0,36.0,57.0,909.0,0.0,0.0,4.375
